Bibi in the corner: Binyamin Netanyahu’s indictment,"After years of investigations, Israel’s prime minister has been indicted. A fraught legal case will complicate the already messy business of cobbling together a government. We examine the work of a pioneering sociologist to understand the causes and consequences of eviction in America. And Leonardo da Vinci’s vineyard has been faithfully recreated, and his wine is enjoying its own renaissance.
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Fri, 22 Nov 2019 10:47:45 GMT","['https://play.acast.com/s/theintelligencepodcast/bibiinthecorner-binyaminnetanyahu-sindictment', 'https://media.acast.com/theintelligencepodcast/bibiinthecorner-binyaminnetanyahu-sindictment/media.mp3']"
Fuel to the fire: growing unrest in Iran,"After petrol subsidies were slashed, protests of surprising ferocity have flared up across the country—and neither the government nor the demonstrators seem to be backing down. The illicit trade in rhinoceros horn threatens the animals’ survival, but scientists have come up with a convincing fake that could collapse the market. And the surprisingly subtle choices to balance meat-eating and environmentalism.&nbsp;
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Thu, 21 Nov 2019 11:00:30 GMT","['https://play.acast.com/s/theintelligencepodcast/fueltothefire-growingunrestiniran', 'https://media.acast.com/theintelligencepodcast/fueltothefire-growingunrestiniran/media.mp3']"
Settling in: Israel-Palestine policy,"The American administration’s shifting position on Israeli settlements in the West Bank will have little immediate effect—but may end up sharply crimping hopes for a Palestinian state. The first debate ahead of Britain’s general election didn’t leave much room for the two main candidates to get past canned talking points. And how high-end gin is displacing the rot-gut variety in India.
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Wed, 20 Nov 2019 11:02:59 GMT","['https://play.acast.com/s/theintelligencepodcast/settlingin-israel-palestinepolicy', 'https://media.acast.com/theintelligencepodcast/settlingin-israel-palestinepolicy/media.mp3']"
Bits in pieces: a fragmenting internet,"The early vision for a borderless, unregulated internet has not panned out as its pioneers hoped. How to handle the “splinternet”? Doug Jones is Alabama’s first Democratic senator in a quarter of a century; in his moderate ways our correspondent finds broader lessons for the Democratic Party. And air pollution is a threat the world over—most of all to the well-being of children.
Additional audio courtesy of Department of Records
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Tue, 19 Nov 2019 11:01:28 GMT","['https://play.acast.com/s/theintelligencepodcast/bitsinpieces-afragmentinginternet', 'https://media.acast.com/theintelligencepodcast/bitsinpieces-afragmentinginternet/media.mp3']"
Head for the Hill: this week’s impeachment hearings,"Democrats have a hard task as the hearings’ public stage proceeds: not uncovering new evidence, but building a robust public case for impeachment. The online-grocery business is tough—but that isn’t stopping e-commerce players big and small from trying to crack it. And it’s getting harder for artists to hang around on the album charts; new talent is coming in, and heading out, ever faster. For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Mon, 18 Nov 2019 11:12:39 GMT","['https://play.acast.com/s/theintelligencepodcast/headforthehill-thisweek-simpeachmenthearings', 'https://media.acast.com/theintelligencepodcast/headforthehill-thisweek-simpeachmenthearings/media.mp3']"
Better the devil they know? Sri Lanka’s election,"After multiple suicide bombings in April, much campaigning has been about security. Will Sri Lankans vote tomorrow for the authoritarian-but-effective candidate, or the more untested peacemaker? We examine the growing nostalgia for Hosni Mubarak, who was ousted as Egypt’s president as part of the Arab Spring. And a trawl through historical records shows how long it took for William Shakespeare to reach real fame.
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Fri, 15 Nov 2019 11:02:37 GMT","['https://play.acast.com/s/theintelligencepodcast/betterthedeviltheyknow-srilanka-selection', 'https://media.acast.com/theintelligencepodcast/betterthedeviltheyknow-srilanka-selection/media.mp3']"
Language barrier: Cameroon’s forgotten conflict,"There is widespread terror in the largely Francophone country’s English-speaking region. Both hardline separatists and the army target civilians with shocking brutality. In a Central Asian valley, a tangle of borders and exclaves that stretch back to Soviet times is making travel difficult—and sometimes deadly. And an experiment in Estonia to punish lead-footed drivers not with a fine, but with a time-out.
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Thu, 14 Nov 2019 11:00:10 GMT","['https://play.acast.com/s/theintelligencepodcast/languagebarrier-cameroon-sforgottenconflict', 'https://media.acast.com/theintelligencepodcast/languagebarrier-cameroon-sforgottenconflict/media.mp3']"
Umbrellas to firebombs: Hong Kong’s escalating protests,"Molotov cocktails are flying and live rounds have been fired. Once-peaceful pro-democracy demonstrations are transforming into violent confrontations—and neither side seems willing to back down. The agricultural revolution that has swept much of the world has still not reached much of Africa; we look into the seeds of the problem. And why Colombia has a growing difficulty with a druglord’s hippos.
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Wed, 13 Nov 2019 10:59:46 GMT","['https://play.acast.com/s/theintelligencepodcast/umbrellastofirebombs-hongkong-sescalatingprotests', 'https://media.acast.com/theintelligencepodcast/umbrellastofirebombs-hongkong-sescalatingprotests/media.mp3']"
The American Dreamer: DACA in the Supreme Court,"The Trump administration has long wanted to scrap the “Dreamers” scheme, which allowed illegal immigrants who came as youths to stay in America. The question is whether the programme’s founding was legal. An emissions debate has infuriated Dutch farmers, and the debacle may threaten Holland’s long history of calm negotiation. And we ask why Disney wants to enter the cut-throat business of video-on-demand. For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Tue, 12 Nov 2019 11:08:51 GMT","['https://play.acast.com/s/theintelligencepodcast/theamericandreamer-dacainthesupremecourt', 'https://media.acast.com/theintelligencepodcast/theamericandreamer-dacainthesupremecourt/media.mp3']"
Unpresidented: Bolivia’s leader resigns,"After weeks of protests following a disputed election, Evo Morales has stood down. Who is in charge, and how can the country escape its gridlock? On a visit to a military hospital our correspondent wonders why Americans seem so disengaged from their veterans. And the campaign to clear Bangladeshi streets of a beloved mode of transport. For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Mon, 11 Nov 2019 11:29:39 GMT","['https://play.acast.com/s/theintelligencepodcast/unpresidented-bolivia-sleaderresigns', 'https://media.acast.com/theintelligencepodcast/unpresidented-bolivia-sleaderresigns/media.mp3']"
Persistence of division: after the Berlin Wall,"This weekend marks three decades since the wall fell, yet stark divides remain between East and West. We revisit that moment of hope that remains unfulfilled. Ethiopia’s Somali state was until recently the country’s most repressive; a visit to one of its prisons reveals a tremendous transformation for the better. And China’s effort to boost its national football team: naturalising foreign talents.&nbsp;For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Fri, 08 Nov 2019 11:08:49 GMT","['https://play.acast.com/s/theintelligencepodcast/persistenceofdivision-aftertheberlinwall', 'https://media.acast.com/theintelligencepodcast/persistenceofdivision-aftertheberlinwall/media.mp3']"
"Allez, Europe! Macron’s diplomatic push","This week our correspondent joined Emmanuel Macron on his visit to China. The French president is stretching his diplomatic wings, and has some striking views about Europe’s place in the world. The state of Texas has been reliably Republican for decades, but its demographics are changing; could it at last turn blue? And how Japan is dealing with its epidemic of public-transport groping.
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Thu, 07 Nov 2019 10:31:06 GMT","['https://play.acast.com/s/theintelligencepodcast/allez-europe-macron-sdiplomaticpush', 'https://media.acast.com/theintelligencepodcast/allez-europe-macron-sdiplomaticpush/media.mp3']"
Demonstrative: a global wave of protest,"Today’s public-sector demonstrations in Zimbabwe are just the latest in a wave of protests around the world. We look into why there are so many, and what might be driving them. It’s not all sound and fury, though; in Lebanon, an Instagram-driven push is helping demonstrators find love in the crowds. For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Wed, 06 Nov 2019 11:08:57 GMT","['https://play.acast.com/s/theintelligencepodcast/demonstrative-aglobalwaveofprotest', 'https://media.acast.com/theintelligencepodcast/demonstrative-aglobalwaveofprotest/media.mp3']"
Stone unturned? Trump’s adviser on trial,"Today Roger Stone, a colourful associate of President Donald Trump for 40 years, goes on trial facing seven charges; he denies them. Could his testimony worry the Trump camp? In the international race to mass-market driverless cars, China’s 5G network may provide a critical edge. And why you shouldn’t worry too much about eerily apposite computer-generated text.
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Tue, 05 Nov 2019 11:02:49 GMT","['https://play.acast.com/s/theintelligencepodcast/stoneunturned-trump-sadviserontrial', 'https://media.acast.com/theintelligencepodcast/stoneunturned-trump-sadviserontrial/media.mp3']"
Facebooklets: breaking up Big Tech,"Few politicians are as ambitious about dismantling the tech behemoths as Elizabeth Warren, one of America’s Democratic presidential contenders. What she is proposing, though, would be neither easy nor quick. We dive into the myriad threats faced by corals, and by the millions of people whose livelihoods depend on them. And a new book considers the likes of Genghis Khan as manager material.
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Mon, 04 Nov 2019 11:00:09 GMT","['https://play.acast.com/s/theintelligencepodcast/facebooklets-breakingupbigtech', 'https://media.acast.com/theintelligencepodcast/facebooklets-breakingupbigtech/media.mp3']"
Impeach-y keen: Trump investigation goes public,"America’s House of Representatives took its first vote on how to proceed with impeachment proceedings against the president. Republicans will now struggle to defend him. Uighurs, China’s Muslim minority, are not just at risk of internment and “re-education” at home; even Uighur exiles abroad face intimidation. And a look at the remarkable artist behind the first-known “Last Supper” painted by a woman. For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Fri, 01 Nov 2019 10:05:18 GMT","['https://play.acast.com/s/theintelligencepodcast/impeach-ykeen-trumpinvestigationgoespublic', 'https://media.acast.com/theintelligencepodcast/impeach-ykeen-trumpinvestigationgoespublic/media.mp3']"
Iraq in a hard place: deadly protests continue,"Demonstrations have been growing for a month and show no signs of abating. But would the reforms that the protesters are demanding actually work? We examine a pioneering bit of Lithuanian software that excels at fake-news detection. And why Germans are resistant to calls for speed limits on the Autobahn.&nbsp;
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Thu, 31 Oct 2019 10:06:55 GMT","['https://play.acast.com/s/theintelligencepodcast/iraqinahardplace-deadlyprotestscontinue', 'https://media.acast.com/theintelligencepodcast/iraqinahardplace-deadlyprotestscontinue/media.mp3']"
May as well: Boris Johnson’s electoral bet,"Prime Minister Boris Johnson has at last secured a general election. Just as with his predecessor Theresa May, that may not result in easier Brexit arithmetic. We speak to Amy Klobuchar, a Democratic-nomination contender; she is behind in polls, but might be a better bet for a party bent on ousting President Trump. And, the campaign to reduce alcohol consumption that’s funded by the alcohol industry.&nbsp;For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Wed, 30 Oct 2019 09:57:14 GMT","['https://play.acast.com/s/theintelligencepodcast/mayaswell-borisjohnson-selectoralbet', 'https://media.acast.com/theintelligencepodcast/mayaswell-borisjohnson-selectoralbet/media.mp3']"
Not fare enough: Chile’s protests,"The ongoing unrest is no longer about a rise in metro fares; Chileans have risen up to demand that the prosperity of their country be distributed more evenly. The “Visegrad Four” economies of central Europe have been a post-communism success story—but as flows of people and money shift, they’re looking more precarious. And, a bid to measure just how useful managers really are.&nbsp;
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Tue, 29 Oct 2019 10:04:34 GMT","['https://play.acast.com/s/theintelligencepodcast/notfareenough-chile-sprotests', 'https://media.acast.com/theintelligencepodcast/notfareenough-chile-sprotests/media.mp3']"
State of disarray: the killing of Abu Bakr al-Baghdadi,"The man who brought Islamic State to the world stage with visions of a brutal “caliphate” has been killed. But the jihadist movement, while weakened, lives on. Argentines voted their reformist president out and protectionist, big-state Peronists back in. Can the hobbled economy cope? And America’s push to start school later could boost grades and the economy, and even save lives.
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Mon, 28 Oct 2019 10:02:35 GMT","['https://play.acast.com/s/theintelligencepodcast/stateofdisarray-thekillingofabubakral-baghdadi', 'https://media.acast.com/theintelligencepodcast/stateofdisarray-thekillingofabubakral-baghdadi/media.mp3']"
Poll dance: Boris Johnson’s election ploy,"Britain’s prime minister is making a risky move by calling for a general election in December. Will it succeed any more than it did for his predecessor? In Japan, both the government and the people take a dim view of soft-drug use; we ask why. And tourists make a dangerous and defiant last-minute dash up Uluru, Australia’s most famous rock. For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Fri, 25 Oct 2019 10:01:50 GMT","['https://play.acast.com/s/theintelligencepodcast/polldance-borisjohnson-selectionploy', 'https://media.acast.com/theintelligencepodcast/polldance-borisjohnson-selectionploy/media.mp3']"
Calls to action: Lebanon’s continued protests,"What began as protests against a tax on WhatsApp calls has blossomed into surprisingly united and peaceful demands for wholesale government overhaul. Today’s disinterment and reburial of Francisco Franco, Spain’s dictator for four decades, speaks volumes about how the country views its bloody history.&nbsp;And how radio DJs are helping with Thailand’s teen-pregnancy problem. For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Thu, 24 Oct 2019 10:05:27 GMT","['https://play.acast.com/s/theintelligencepodcast/callstoaction-lebanon-scontinuedprotests', 'https://media.acast.com/theintelligencepodcast/callstoaction-lebanon-scontinuedprotests/media.mp3']"
"Putin, he’s back into it: Russia’s growing influence","Vladimir Putin’s diplomacy regarding northern Syria is just one example of the Russian president’s widening influence. British Airways was once known as the world’s favourite airline, we ask why its popularity has fallen far faster than its profits. And why voters should be wary of politicians claiming to speak for “the people”.
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Wed, 23 Oct 2019 10:05:03 GMT","['https://play.acast.com/s/theintelligencepodcast/putin-he-sbackintoit-russia-sgrowinginfluence', 'https://media.acast.com/theintelligencepodcast/putin-he-sbackintoit-russia-sgrowinginfluence/media.mp3']"
The course of Trudeau love: Canada’s election,"Justin Trudeau will remain prime minister, but will lead a minority government. He will probably be able to continue with his progressive push, but his halo is a bit tarnished. It’s ten years this month since Greece’s financial implosion; we look back on a decade spent balancing the books. And, the surprising success of fun stock-ticker symbols.&nbsp;
For full access to print, digital and audio editions of The Economist, subscribe here www.economist.com/radiooffer  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Tue, 22 Oct 2019 10:05:06 GMT","['https://play.acast.com/s/theintelligencepodcast/thecourseoftrudeaulove-canada-selection', 'https://media.acast.com/theintelligencepodcast/thecourseoftrudeaulove-canada-selection/media.mp3']"
Going through the motion: more Brexit contortions,"It might have been a clarifying vote on Prime Minister Boris Johnson’s Brexit motion; instead, more legislation and frustration. We dig through the parliamentary procedure to try to map out what happens next. Sports fans’ easy access to the world’s games poses a threat to some sports, and is even changing the nature of others. And, Indonesia’s curious push for halal pianos.  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Mon, 21 Oct 2019 10:05:28 GMT","['https://play.acast.com/s/theintelligencepodcast/goingthroughthemotion-morebrexitcontortions', 'https://media.acast.com/theintelligencepodcast/goingthroughthemotion-morebrexitcontortions/media.mp3']"
Irish ayes? A new Brexit deal,"Britain’s prime minister Boris Johnson has a newly struck European Union divorce deal in hand. He has defied the expectations of many, but he still faces a tricky vote in Britain’s parliament. Turkey’s pummelling of the Syrian border area will pause for five days, but the decline of America’s role and image in the region has not been halted. And the burgeoning business of therapeutic psychedelics.  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Fri, 18 Oct 2019 10:00:16 GMT","['https://play.acast.com/s/theintelligencepodcast/irishayes-anewbrexitdeal', 'https://media.acast.com/theintelligencepodcast/irishayes-anewbrexitdeal/media.mp3']"
Antsy about ANC: reform in South Africa,"Our journalists interview Cyril Ramaphosa, South Africa’s president, about his efforts to clean up his country and his African National Congress party. He’s the right man for the job, but the clock is ticking. The markets are rife with funds run by computers, but handing decisions to the machines comes with plenty of risk. And how political polarisation is driving a new dictionary of discourtesy.  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Thu, 17 Oct 2019 10:15:21 GMT","['https://play.acast.com/s/theintelligencepodcast/antsyaboutanc-reforminsouthafrica', 'https://media.acast.com/theintelligencepodcast/antsyaboutanc-reforminsouthafrica/media.mp3']"
Back to Square one? Tiananmen veterans in Hong Kong,"Amid the growing disquiet in Hong Kong are a few survivors of the 1989 Tiananmen Square massacre. These once-moderate voices are changing their minds about whether the protesters should keep provoking the Chinese government. Even as a currency crisis unfolds, Lebanon’s central bank is keeping things stable—so far. The bank has a solid history, in part because of one man who guarded a pile of Ottoman gold. And an effort to wrangle the dialects of the Canadian Arctic.  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Wed, 16 Oct 2019 10:05:31 GMT","['https://play.acast.com/s/theintelligencepodcast/backtosquareone-tiananmenveteransinhongkong', 'https://media.acast.com/theintelligencepodcast/backtosquareone-tiananmenveteransinhongkong/media.mp3']"
Then there were 12: the Democrats’ fourth debate,"Twelve candidates take to the stage again tonight, with two clear front-runners. We ask how the winnowing field reflects the mood of the party. We also examine an unlikely candidate in a lesser-watched race: that for the Republican nomination. And, why the shattering of the two-hour-marathon mark has much to do with snazzy footwear.  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Tue, 15 Oct 2019 10:00:00 GMT","['https://play.acast.com/s/theintelligencepodcast/thentherewere12-thedemocrats-fourthdebate', 'https://media.acast.com/theintelligencepodcast/thentherewere12-thedemocrats-fourthdebate/media.mp3']"
The enemy of their enemy: the Kurds ally with Syria,"Turkey’s violent strikes on north-eastern Syria came as swiftly as America’s withdrawal. The overwhelmed Kurds, once America’s staunch allies against Islamic State, now want protection from Syria’s Russian-backed forces. “Microfinance” experiments are intended to alleviate poverty, but in Sri Lanka one trial has gone badly wrong. And, why China’s 30m truckers aren’t the folk heroes they might be elsewhere.  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Mon, 14 Oct 2019 10:00:09 GMT","['https://play.acast.com/s/theintelligencepodcast/theenemyoftheirenemy-thekurdsallywithsyria', 'https://media.acast.com/theintelligencepodcast/theenemyoftheirenemy-thekurdsallywithsyria/media.mp3']"
PiS prize: Poland’s crucial election,"It is at once a story of post-communist success and of populist threats to the rule of law by the governing Law and Justice (PiS) party. What direction will Poles choose for their country? Gay rights are few and far between in China, but couples have found protection in a little loophole in guardianship law. And, how Elvis Presley’s last flash in Las Vegas changed the city forever.  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Fri, 11 Oct 2019 10:00:57 GMT","['https://play.acast.com/s/theintelligencepodcast/pisprize-poland-scrucialelection', 'https://media.acast.com/theintelligencepodcast/pisprize-poland-scrucialelection/media.mp3']"
Uncomfortable president: Trump’s stonewalling,"The White House is stonewalling the impeachment inquiry. Could that hinder the Democrats’ ability to build a strong public case? We look at this year’s crop of Nobel prizes in the sciences and ask why, once again, all the winners are men. And, Japan’s government-led efforts to match lonely urbanites with rural folk.  For information regarding your data privacy, visit <a href=""https://www.acast.com/privacy"">acast.com/privacy</a>","Thu, 10 Oct 2019 09:59:12 GMT","['https://play.acast.com/s/theintelligencepodcast/uncomfortablepresident-trump-sstonewalling', 'https://media.acast.com/theintelligencepodcast/uncomfortablepresident-trump-sstonewalling/media.mp3']"
